Date,Category,Description,Amount,Type
2025-05-10,Education,Tuition fee,3248.23,Expense
2025-01-25,Healthcare,Checkup,2478.65,Expense
2025-03-07,Travel,Vacation trip,3686.2,Expense
2025-02-03,Entertainment,Concert,2034.06,Expense
2025-03-07,Bills,Mobile recharge,1436.23,Expense
2025-04-27,Investment Return,Stocks,26774.91,Income
2025-02-04,Travel,Train ticket,4522.95,Expense
2025-01-23,Food,Dinner,1474.04,Expense
2025-01-26,Shopping,Electronics,3880.01,Expense
2025-04-14,Freelance,Logo creation,2360.98,Income
2025-03-15,Gift,Friend's gift,315.1,Expense
2025-02-09,Healthcare,Insurance,3125.31,Expense
2025-05-04,Entertainment,Movie,1147.32,Expense
2025-05-25,Entertainment,Concert,4631.27,Expense
2025-05-03,Shopping,Clothes,1213.23,Expense
2025-03-14,Bills,Water bill,1863.45,Expense
2025-04-08,Shopping,Accessories,940.06,Expense
2025-05-17,Investment Return,Mutual funds,26198.8,Income
2025-04-14,Education,Books,810.76,Expense
2025-03-13,Bills,Internet,628.45,Expense
2025-03-12,Freelance,App testing,9572.57,Income
2025-01-14,Shopping,Shoes,2528.57,Expense
2025-06-20,Education,Books,2849.45,Expense
2025-01-18,Freelance,Web design,26958.91,Income
2025-05-07,Transport,Metro pass,4685.66,Expense
2025-04-10,Food,Lunch,1839.63,Expense
2025-05-03,Education,Books,3560.0,Expense
2025-04-01,Bills,Internet,808.63,Expense
2025-01-04,Healthcare,Medicines,1936.29,Expense
2025-04-30,Food,Snacks,3463.79,Expense
2025-01-22,Freelance,App testing,10575.12,Income
2025-06-16,Freelance,Logo creation,3407.79,Income
2025-04-15,Bills,Electricity,2284.75,Expense
2025-04-19,Travel,Flight,1521.01,Expense
2025-02-23,Bonus,Quarterly bonus,27842.78,Income
2025-06-26,Food,Dinner,2153.04,Expense
2025-01-25,Shopping,Electronics,1341.25,Expense
2025-01-04,Bills,Water bill,4006.41,Expense
2025-04-28,Freelance,Logo creation,18344.34,Income
2025-06-16,Freelance,Web design,21370.27,Income
2025-06-18,Entertainment,Concert,1864.49,Expense
2025-04-12,Travel,Train ticket,4241.14,Expense
2025-03-15,Investment Return,Stocks,4255.18,Income
2025-03-23,Bonus,Quarterly bonus,13260.52,Income
2025-03-23,Education,Tuition fee,448.43,Expense
2025-06-05,Salary,Monthly salary,5007.06,Income
2025-03-30,Travel,Vacation trip,4436.53,Expense
2025-05-26,Transport,Bus fare,383.53,Expense
2025-01-28,Bills,Mobile recharge,2048.92,Expense
2025-05-14,Bills,Internet,2043.6,Expense
2025-01-25,Food,Groceries,3031.22,Expense
2025-03-25,Transport,Fuel,1352.43,Expense
2025-05-13,Healthcare,Insurance,4961.99,Expense
2025-03-29,Bills,Mobile recharge,1156.19,Expense
2025-03-15,Shopping,Shoes,4894.25,Expense
2025-04-04,Education,Books,166.92,Expense
2025-02-10,Food,Lunch,3797.37,Expense
2025-03-27,Entertainment,Movie,3282.73,Expense
2025-02-05,Transport,Metro pass,1068.3,Expense
2025-05-29,Entertainment,Movie,757.79,Expense
2025-06-30,Travel,Flight,1027.98,Expense
2025-01-18,Investment Return,Stocks,5616.5,Income
2025-06-24,Food,Dinner,3435.08,Expense
2025-02-15,Bills,Electricity,1806.03,Expense
2025-03-19,Salary,Side job salary,25658.33,Income
2025-02-17,Travel,Vacation trip,1857.94,Expense
2025-01-24,Freelance,App testing,26124.93,Income
2025-04-14,Transport,Fuel,3338.31,Expense
2025-02-13,Healthcare,Medicines,1343.05,Expense
2025-06-07,Food,Groceries,2593.76,Expense
2025-05-29,Freelance,Web design,20796.3,Income
2025-05-05,Healthcare,Medicines,3942.62,Expense
2025-04-16,Entertainment,Netflix,4132.74,Expense
2025-01-06,Investment Return,Crypto profit,23419.43,Income
2025-01-11,Salary,Side job salary,25795.19,Income
2025-05-02,Healthcare,Checkup,2317.47,Expense
2025-03-19,Salary,Side job salary,610.13,Income
2025-04-22,Food,Snacks,179.59,Expense
2025-01-19,Investment Return,Crypto profit,20734.82,Income
